Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered
,Chuck Love Jr.,SF,FR,6-7,185,"Lincoln, NE",,91.15,4/08/2026
,Noah Shelby,SG,SR,6-2,175,"McKinney, TX",,91.14,4/20/2026
,Assane Diop,PF,JR,6-10,190,"Denver, CO",,90.96,4/08/2026
,Isaiah Johnson-Arigu,SF,SO,6-7,190,"Minneapolis, MN",,90.93,Expected
,Aaron Clark,SG,JR,6-6,195,"Easton, PA",,90.56,4/07/2026
,Joseph Pinion,SG,SR,6-6,180,"Morrilton, AR",,90.50,4/20/2026
,Mason Blackwood,SF,FR,6-7,210,"Rochester, NY",,90.47,4/06/2026
,Josh Hill,PF,SO,6-11,180,"Marietta, GA",,90.16,4/21/2026
,Kebba Njie,PF,SR,6-10,237,"La Porte, IN",,90.07,4/09/2026
,Josiah Harris,PF,SR,6-7,200,"Cleveland, OH",,89.76,4/13/2026
,Dasonte Bowen,PG,SR,6-3,165,"Worcester, MA",,89.74,Expected
,Drew Steffe,SG,JR,6-5,175,"Frisco, TX",,89.58,4/07/2026
,Mari Jordan,SG,JR,6-6,185,"Dacula, GA",,89.47,4/09/2026
,Jeremiah Johnson,SG,SO,6-3,170,"Oklahoma City, OK",,89.41,3/20/2026
,Josh Reed,SG,SR,6-6,195,"Atlanta, GA",,89.35,4/14/2026
,Akbar Waheed,SG,FR,6-6,175,"Bethesda, MD",,89.15,Expected
,Chris Jeffrey,PG,FR,6-3,200,"Brooklyn, NY",,89.06,Expected
,Demarco Johnson,PG,FR,6-2,155,"Northridge, CA",,88.90,Expected
,Jahseem Felton,SG,SO,6-5,175,"Rock Hill, SC",,88.84,4/13/2026
,Jevon Porter,PF,SR,6-11,230,"Columbia, MO",,88.69,4/19/2026
,Carlsheon Young,CG,FR,6-4,190,"Oklahoma City, OK",,88.43,3/31/2026
,Steven Solano,C,SO,6-11,230,"Virginia Beach, VA",,88.00,4/08/2026
,Drew McKenna,SF,RS-SO,6-8,200,"Baltimore, MD",,87.67,4/07/2026
,Cameron Barnes,PF,JR,6-10,210,"Dallas, TX",,87.67,4/17/2026
,Godswill Erheriene,C,SO,6-9,225,"Glen Head, NY",,87.16,4/07/2026
,MJ Collins,SG,SR,6-4,190,"Rock Hill, SC",,$482K,4/08/2026
,James Evans,CG,SO,6-5,205,"Stevenson Ranch, CA",,86.92,4/07/2026
,Semetri Carr,CG,FR,6-0,165,"Point Reyes Station, CA",,86.85,4/21/2026
,Caden Diggs,SF,SO,6-7,180,"Washington, DC",,86.67,4/08/2026
,Baba Miller,PF,SR,6-10,180,Madrid,,86.67,4/16/2026
