Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
,Luka Toews,PG,SO,5-11,155.0,"Boston, MA",,83.00,Expected,,,1863.0,Boston College,-0.47,0.33,-0.14,1033.0,0.66,0.03,0.69,98.4,100.5,-2.1,44.90106544901066,34.765234765234766,30.658105939004813,42.354740061162076,39.13656706788823,Full Metrics,Tier 1
,Makaih Williams,SG,JR,6-2,190.0,"San Juan Capistrano, CA",,,Expected,,,369.0,Grand Canyon,2.73,1.46,4.19,1478.0,3.19,0.35,3.53,110.0,95.9,14.2,62.10045662100457,66.73326673326675,65.40930979133226,67.27828746177369,64.69710440925101,Full Metrics,Tier 1
,Arterio Morris,PG,SR,6-3,190.0,"Dallas, TX",,98.26,,4/03/2026,,2222.0,Bethune-Cookman,-1.38,0.41,-0.97,1428.0,-2.83,0.98,-1.84,103.2,110.7,-7.5,46.11872146118722,25.67432567432568,23.996789727126803,34.09785932721712,34.780106847564234,Full Metrics,Tier 1
,Ernest Udeh Jr.,C,SR,6-10,250.0,"Orlando, FL",,97.26,,4/22/2026,,207.0,Miami (Fla.),1.95,3.24,5.2,1579.0,1.37,2.77,4.14,120.1,96.4,23.7,89.19330289193303,58.94105894105895,73.51524879614767,81.80428134556574,77.38627785310234,Full Metrics,Tier 1
,Elijah Fisher,SG,SR,6-6,190.0,"Toronto, ON",,97.19,,4/11/2026,,629.0,Seton Hall,0.35,2.68,3.03,1158.0,0.59,1.7,2.29,104.3,88.1,16.2,80.66971080669711,42.95704295704296,56.09951845906902,70.33639143730886,64.77750746934971,Full Metrics,Tier 1
,Skyy Clark,PG,SR,6-3,200.0,"Los Angeles, CA",,96.67,,4/07/2026,,136.0,UCLA,4.23,1.79,6.02,1230.0,3.51,1.07,4.58,121.3,98.8,22.4,67.12328767123287,81.71828171828173,80.09630818619581,79.81651376146789,75.27062419952294,Full Metrics,Tier 1
,Seth Trimble,PG,SR,6-3,185.0,"Menomonee Falls, WI",,96.19,,4/20/2026,,404.0,North Carolina,3.06,0.99,4.04,1354.0,2.79,1.16,3.95,119.3,101.9,17.3,54.946727549467276,70.02997002997003,64.20545746388443,72.0183486238532,63.13002731363429,Full Metrics,Tier 1
,Mikey Williams,SG,RS-SO,6-2,190.0,"San Diego, CA",,$2.3M,,4/16/2026,,2509.0,Sacramento State,-0.76,-0.97,-1.73,1189.0,-0.57,-0.19,-0.76,100.2,113.1,-12.9,25.114155251141554,31.868131868131872,17.897271268057782,25.84097859327217,25.46829611009197,Full Metrics,Tier 1
,Chris Johnson,PG,JR,6-4,180.0,"Missouri City, TX",,95.33,,4/08/2026,,750.0,UCF,2.76,-0.13,2.64,883.0,3.44,0.48,3.92,116.6,106.3,10.3,37.89954337899544,67.03296703296704,52.96950240770465,61.314984709480115,51.70920729780289,Full Metrics,Tier 1
,Aidan Shaw,SF,SR,6-8,195.0,"Stilwell, KS",,94.77,,4/20/2026,,1583.0,Boston College,-1.0,1.44,0.44,1302.0,-0.73,1.78,1.04,98.3,101.8,-3.5,61.796042617960424,29.470529470529474,35.313001605136435,40.21406727828746,45.180759827586954,Full Metrics,Tier 1
